id,title,author,year,status
1,Объектно-ориентированное программирование в CPP,Лафоре,2004,в наличии
2,Структуры данных и алгоритмы в Java,Лафоре,2013,в наличии
3,Курс математического анализа. Ч1,Кудрявцев,2003,в наличии
4,Курс математического анализа. Ч2,Кудрявцев,2004,в наличии
5,Механика и теория относительности,Матвеев,2003,в наличии
6,Курс математического анализа. Ч3,Кудрявцев,2006,в наличии
7,Алгоритмы. Построение и анализ,Кормен,2013,в наличии
8,Основы современных алгоритмов,Макконнел,2004,в наличии
9,Конкретная математика. Математические основы информатики,Кнут,2010,в наличии 
10,Построение компиляторов,Вирт,2010,в наличии
11,Современные операционные системы,Таненбаум,2015,в наличии
12,Разработка операционной системы и компилятора. Проект Оберон,Вирт,2012,в наличии
13,Совершенный код,Макконнел,2010,в наличии
14,Собр. соч. в 10ч. Ч10. Сочинения по технике лечения,Фрейд,2003,в наличии
15,Апокалипсис криптографии,Граймс,2020,в наличии
16,Машинное обучение. Курс лекций,Воронцов,2021,в наличии
17,Pattern Recognition and Machine Learning,Bishop,2006,в наличии
18,Java Performance,Oaks,2020,в наличии
19,An analysis of security incidents on the internet 1989-1995,Howard,1997,в наличии
20,SQL. Сборник рецептов,Молинаро,2009,в наличии
